Feature_Name,Score
IFITM3,0.4631295406614244
ZFP36L1,0.4607683285133093
GC,0.42190632803027617
S100A11,0.3988848304200956
TM4SF1,0.3881227799457845
TACSTD2,0.3838984209231344
CD44,0.36549427802586987
HADH,0.35672328377415674
SDC4,0.34979183869887454
CFB,0.349338192587898
PMEPA1,0.3481778376738114
C1QL1,0.3472784342553128
MMP14,0.3460314780613354
C3,0.3454604602807483
IL32,0.34377763107875126
ADCYAP1,0.3389745269229776
SERPING1,0.33881627402137093
KRT7,0.33848433249884824
S100A10,0.3382239135120555
IRX2,0.33676489586566083
